video_id,cohort_id,views_6h,likes_6h,comments_6h,views_24h,likes_24h,comments_24h,views_log,likes_log,comments_log,viral_score,viral
Es8bRaKZHkQ,cohort3,1399,21,0,1699,27,0,7.438383530044307,3.332204510175204,0.0,5.462691471079145,0
gm-iEVxl5Ew,cohort3,1964,19,7,2002,22,8,7.602401335665818,3.1354942159291497,2.19722457733622,5.721811523911858,0
FyckdNPkmVk,cohort3,7356,122,1,18686,239,3,9.835583373922256,5.480638923341991,1.3862943611198906,7.68417113746794,0
0spHr4gCY4w,cohort3,5495,0,0,9851,0,1,9.195429759240428,0.0,0.6931471805599453,5.586572573600251,0
_GWFMlcwnF8,cohort3,5356,16,0,6983,19,0,8.851377097519439,2.995732273553991,0.0,6.20954594057786,0
Q8XB2RQ3ROI,cohort3,1518,10,1,1593,10,1,7.374001859350161,2.3978952727983707,0.6931471805599453,5.213084415505602,0
6ifUbpbI55M,cohort3,2449,23,1,8372,58,2,9.032767522204432,4.07753744390572,1.0986122886681098,6.752782975361186,0
bL7XBZJboNM,cohort3,3637,39,1,9617,90,2,9.171391621837609,4.51085950651685,1.0986122886681098,6.965954053924431,0
GyrTFM9gmXY,cohort3,1849,24,0,2333,28,0,7.755338812846501,3.367295829986474,0.0,5.663392036703843,0
a2XfZ4VXvGA,cohort3,2252,26,0,2250,27,0,7.719129840906732,3.332204510175204,0.0,5.6311392575966,0
gRV8O-JrxOY,cohort3,3506,132,13,5006,191,19,8.518592212329946,5.2574953720277815,2.995732273553991,6.987977166361701,0
TJveAqdT5EA,cohort3,1746,26,0,1753,26,0,7.469654172932128,3.295836866004329,0.0,5.470543563560575,0
mDYRXJ0p4PQ,cohort3,1212,18,0,1238,18,0,7.122059881629142,2.9444389791664403,0.0,5.156567622727417,0
5y8TUm2aD0o,cohort3,5805,34,0,13788,72,0,9.531626451841742,4.290459441148391,0.0,7.006113703449563,0
p9UYqskIoQA,cohort3,11000,525,9,20485,731,18,9.92749700499648,6.595780513961311,2.9444389791664403,8.229676255102925,1
xzKUi93pPHA,cohort3,22869,1249,40,23178,1266,48,10.051001975324676,7.144407180321139,3.8918202981106265,8.563105369102209,1
rT-NLSHcE9s,cohort3,2664,18,0,4191,39,0,8.340933226000878,3.688879454113936,0.0,6.111223771834707,0
-_mHx7Ft5wU,cohort3,1166,41,1,1185,43,1,7.078341579557671,3.784189633918261,0.6931471805599453,5.451576555966075,0
AlSZCsLEIgs,cohort3,1151,25,0,1429,30,0,7.265429723253953,3.4339872044851463,0.0,5.389453995297916,0
r3gidU4xS7I,cohort3,959,0,0,1150,0,0,7.048386408721883,0.0,0.0,4.22903184523313,0
uilr_SZtOUI,cohort3,5186,167,7,8017,249,7,8.989444293202451,5.521460917862246,2.079441541679836,7.258049005448128,0
7D9WIfmzntE,cohort3,2982,124,4,2998,125,4,8.00603417874901,4.836281906951478,1.6094379124341005,6.415448870578259,0
64Kgdkeu624,cohort3,1331,22,1,1899,31,1,7.549609165154532,3.4657359027997265,0.6931471805599453,5.638800987988632,0
8DQIdUPSTSI,cohort3,1307,16,1,1408,16,3,7.25063551189868,2.833213344056216,1.3862943611198906,5.338974746468062,0
QZsiQ82Z2NQ,cohort3,10989,115,0,11459,123,0,9.346617990268731,4.820281565605037,0.0,7.05405526384275,0
f3rQ9mfaMTQ,cohort3,1021,26,1,1027,26,1,6.93537044601511,3.295836866004329,0.6931471805599453,5.219288045466359,0
gZeUZ59Isp0,cohort3,877,33,4,1031,56,4,6.939253946041508,4.04305126783455,1.6094379124341005,5.53741153921868,0
L7Z0xXi8K7c,cohort3,877,26,0,927,28,0,6.833031732786201,3.367295829986474,0.0,5.110007788667662,0
1CumQ1UO9IE,cohort3,11022,265,5,14087,320,5,9.553078650176042,5.771441123130016,1.791759469228055,7.642455473967435,0
ehJEp8UBqVI,cohort3,734,4,1,717,4,1,6.576469569048224,1.6094379124341005,0.6931471805599453,4.498027833215159,0
llkjHbzopc8,cohort3,41373,574,4,68899,704,4,11.14041145700175,6.558197802812269,1.6094379124341005,8.812650006288141,1
6MTTJ_sesws,cohort3,6591,254,6,8720,451,9,9.073489189226986,6.113682179832232,2.302585092994046,7.508456676785266,0
ES7Fm2NxK0Y,cohort3,1236,46,1,1266,50,1,7.144407180321139,3.9318256327243257,0.6931471805599453,5.535506716065975,0
hPspv_cG0T4,cohort3,1437,13,2,1598,15,5,7.377133712833954,2.772588722239781,1.791759469228055,5.437232791295113,0
gMoqx9_XKWA,cohort3,10407,134,1,12931,150,1,9.467460138845324,5.017279836814924,0.6931471805599453,7.254974752407666,0
fKQ_8fCJiBQ,cohort3,1413,34,2,1415,34,3,7.255591274253665,3.555348061489413,1.3862943611198906,5.558588619111012,0
erHoZyk8jOU,cohort3,5820,131,11,8627,176,12,9.062768007509048,5.176149732573829,2.5649493574615367,7.247000660023731,0
TUR6yFb7sVI,cohort3,1434,111,21,1661,149,22,7.415776975415394,5.010635294096256,3.1354942159291497,6.266206195071029,0
UrRo4FbJfgI,cohort3,762,55,3,1148,97,3,7.046647277848756,4.584967478670572,1.3862943611198906,5.7421080464224135,0
p9hMaOcN-h0,cohort3,693,6,0,861,11,1,6.759255270663693,2.4849066497880004,0.6931471805599453,4.87033987539061,0
BPzQ7h1WteM,cohort3,913,17,1,968,19,1,6.876264611890766,2.995732273553991,0.6931471805599453,5.093793167256651,0
Myf61iqyVaI,cohort3,439,12,0,438,12,0,6.084499413075172,2.5649493574615367,0.0,4.4201844550835645,0
ODkYVR6PR5U,cohort3,1095,37,0,1635,44,0,7.400009517162692,3.80666248977032,0.0,5.58200445722871,0
NLIVrkP2KnQ,cohort3,773,9,1,950,9,1,6.85751406254539,2.302585092994046,0.6931471805599453,4.874598683481442,0
htdw_jINtxY,cohort3,1254,49,0,3924,153,0,8.275121630216509,5.0369526024136295,0.0,6.476158758853994,0
bkuCXbCczuo,cohort3,1280,20,3,1282,21,3,7.1569563646156364,3.091042453358316,1.3862943611198906,5.360115990888866,0
