video_id,views,likes,comments,tracked_at
Bl66lNBD-U4,31075,407,1,2026-04-23 10:12:10.344577
MKvmhS2WElo,29309,0,2,2026-04-23 10:12:10.344579
jaIQWlDTLUY,268070,4433,7,2026-04-23 10:12:10.344581
iVnxwkHDD3Q,37908,716,32,2026-04-23 10:12:10.344582
n22uDbchZYs,40261,171,0,2026-04-23 10:12:10.344584
LEIgQtVwJGk,37397,720,4,2026-04-23 10:12:10.344586
6vaEALEbKmo,35413,172,1,2026-04-23 10:12:10.344588
fAwjFITVLzs,99399,0,1,2026-04-23 10:12:10.344590
hB6WnL80HNI,21109,820,11,2026-04-23 10:12:10.344591
2A4C6Dpiod4,60213,252,2,2026-04-23 10:12:10.344593
ncSecGdH7rg,68534,1472,7,2026-04-23 10:12:10.344595
dVXQazWGqVQ,1524590,4612,12,2026-04-23 10:12:10.344597
DF9WGou4ffA,84015,0,1,2026-04-23 10:12:10.344598
GElOK8JXlXI,67023,1053,9,2026-04-23 10:12:10.344600
-tccKyTazdw,33729,184,0,2026-04-23 10:12:10.344601
GVir39PsE6g,31211,76,1,2026-04-23 10:12:10.344603
jPyMJ5W-AOE,88930,0,3,2026-04-23 10:12:10.344605
9PjbZzKVdZw,30883,194,0,2026-04-23 10:12:10.344607
7oBKFVItzsU,667249,0,2,2026-04-23 12:29:12.816405
ppFBhivpaGE,1293797,2691,0,2026-04-23 12:29:12.816433
VrBgkDnksDI,499180,2487,2,2026-04-23 12:29:12.816440
Ef-7oED0mq4,167163,9535,289,2026-04-23 12:29:12.816444
7EmZyk8MLNQ,337694,0,2,2026-04-23 12:29:12.816448
_Dtsn9DzIbs,262344,2041,0,2026-04-23 12:29:12.816452
G-pTfMOY9QE,541324,9244,541,2026-04-23 12:29:12.816456
4XAK7-VZX6Q,695323,0,4,2026-04-23 12:29:12.816459
rvMbdIJnM1I,254182,0,2,2026-04-23 12:29:12.816462
LMSKC7drnMA,116662,0,1,2026-04-23 12:29:12.816466
71-KRdBGlsI,1122435,21377,61,2026-04-23 12:29:12.816470
gIZoO48ePNs,305821,1318,1,2026-04-23 12:29:12.816474
9Z6s2IeafHM,77324,437,1,2026-04-23 12:29:12.816477
Z4ufGu70hYk,183749,0,1,2026-04-23 12:29:12.816480
Q3ggtN1Y-OM,254119,772,1,2026-04-23 12:29:12.816484
aJWuMnhx294,146833,831,2,2026-04-23 12:29:12.816487
GH0WPFOB4Jg,259314,1795,2,2026-04-23 12:29:12.816491
-dUURnwXGpQ,99213,2629,78,2026-04-23 12:29:12.816494
4zsaw5a2LlE,431661,0,0,2026-04-23 12:29:12.816497
8RsnBgq3ClM,38546,345,2,2026-04-23 12:29:12.816501
7CdV10Ezbec,191505,1884,10,2026-04-23 12:29:12.816504
vyqf_fSfM14,452454,5469,12,2026-04-23 12:29:12.816507
CrPcSO3Ksqc,41695,0,0,2026-04-23 12:29:12.816511
kCTZ0o7MS3M,33890,0,2,2026-04-23 12:29:12.816514
c8ksB0mVzPU,989979,34477,506,2026-04-23 12:29:12.816518
y5-pCtvyeU0,71570,0,1,2026-04-23 12:29:12.816521
kxOtnzuYHo0,54400,222,0,2026-04-23 12:29:12.816525
ODYlII65Ezg,38247,222,1,2026-04-23 12:29:12.816528
tI67adV3pXY,32943,304,0,2026-04-23 12:29:12.816532
JbiHS32r48w,166151,0,1,2026-04-23 12:29:12.816535
qCPUL-n2zEM,36425,0,1,2026-04-23 12:29:12.816538
GB92jfG0Aww,85323,1443,43,2026-04-23 12:29:12.816541
Bl66lNBD-U4,31560,409,1,2026-04-23 12:29:12.816545
MKvmhS2WElo,29428,0,2,2026-04-23 12:29:12.816548
jaIQWlDTLUY,278616,4566,7,2026-04-23 12:29:12.816552
iVnxwkHDD3Q,38495,724,33,2026-04-23 12:29:12.816555
n22uDbchZYs,40500,172,0,2026-04-23 12:29:12.816558
LEIgQtVwJGk,37831,721,4,2026-04-23 12:29:12.816562
6vaEALEbKmo,35443,172,1,2026-04-23 12:29:12.816573
fAwjFITVLzs,104572,0,1,2026-04-23 12:29:12.816577
hB6WnL80HNI,21109,819,11,2026-04-23 12:29:12.816580
2A4C6Dpiod4,60832,254,2,2026-04-23 12:29:12.816583
ncSecGdH7rg,69129,1490,7,2026-04-23 12:29:12.816587
dVXQazWGqVQ,1563439,4691,12,2026-04-23 12:29:12.816607
DF9WGou4ffA,87917,0,1,2026-04-23 12:29:12.816610
GElOK8JXlXI,67576,1077,9,2026-04-23 12:29:12.816613
-tccKyTazdw,33787,184,0,2026-04-23 12:29:12.816617
GVir39PsE6g,31254,76,1,2026-04-23 12:29:12.816620
