video_id,views,likes,comments,tracked_at,cohort_id
iHQ-auaYxqw,7770,58,0,2026-05-07 07:01:22.371006,cohort2
0P8jQM_RSbg,2994,49,4,2026-05-07 07:01:22.371006,cohort2
O1Rm0Npcxhc,5344,61,7,2026-05-07 07:01:22.371006,cohort2
7P9VVuUgkmw,4065,139,0,2026-05-07 07:01:22.371006,cohort2
mteZU7yoafE,4338,7,0,2026-05-07 07:01:22.371006,cohort2
I2wYnsHQ0Xs,10400,260,0,2026-05-07 07:01:22.371006,cohort2
oNyPIpZFaak,7451,274,3,2026-05-07 07:01:22.371006,cohort2
aWkJ1mCj2cc,3351,33,0,2026-05-07 07:01:22.371006,cohort2
XJ8b6MerRdc,3740,133,34,2026-05-07 07:01:22.371006,cohort2
JDRAgIl-x70,4365,30,1,2026-05-07 07:01:22.371006,cohort2
TAeMYuwA8EE,10715,117,1,2026-05-07 07:01:22.371006,cohort2
zQTbUsLIu58,6784,26,0,2026-05-07 07:01:22.371006,cohort2
btJXWbbnJHQ,10984,17,0,2026-05-07 07:01:22.371006,cohort2
b6H12EIUmoU,2880,19,0,2026-05-07 07:01:22.371006,cohort2
kkSA8x_bWtU,4542,268,21,2026-05-07 07:01:22.371006,cohort2
YyNV_rDWt2E,23310,117,0,2026-05-07 07:01:22.371006,cohort2
03jvPpySFTk,1710,41,32,2026-05-07 07:01:22.371006,cohort2
lgnW9R4ZnJs,11457,236,7,2026-05-07 07:01:22.371006,cohort2
Cm3jOxBWfGk,7946,28,1,2026-05-07 07:01:22.371006,cohort2
dj4B_HQcsz0,12868,0,0,2026-05-07 07:01:22.371006,cohort2
xnjfMUU0ubc,2171,23,0,2026-05-07 07:01:22.371006,cohort2
ZzbdOPmfYYI,125706,6699,15,2026-05-07 07:01:22.371006,cohort2
ic2qcpuoBCs,6058,78,4,2026-05-07 07:01:22.371006,cohort2
vLQkW84t-OA,3689,11,0,2026-05-07 07:01:22.371006,cohort2
x7vQUhOiduA,2642,0,0,2026-05-07 07:01:22.371006,cohort2
i7JPPJZj9JI,5772,178,2,2026-05-07 07:01:22.371006,cohort2
kdYiDfHjENU,9353,58,0,2026-05-07 07:01:22.371006,cohort2
-TjsD7VQLYg,5444,0,6,2026-05-07 07:01:22.371006,cohort2
PNi3GBdkUcs,3134,44,1,2026-05-07 07:01:22.371006,cohort2
YBZ9d7_CmHQ,2456,6,0,2026-05-07 07:01:22.371006,cohort2
PJ1l1O8s9Rk,1729,50,0,2026-05-07 07:01:22.371006,cohort2
GjFwFfQGHVE,3071,14,0,2026-05-07 07:01:22.371006,cohort2
GkhDx9sHTkY,2953,27,0,2026-05-07 07:01:22.371006,cohort2
HdA-m8pxgUE,2146,0,1,2026-05-07 07:01:22.371006,cohort2
8iK0Wnbo4ss,22772,0,3,2026-05-07 07:01:22.371006,cohort2
vp8Dl8jLtpQ,5022,81,1,2026-05-07 07:01:22.371006,cohort2
KuWDY_q0cl4,23431,146,2,2026-05-07 07:01:22.371006,cohort2
JYLiA6eYotI,2738,16,0,2026-05-07 07:01:22.371006,cohort2
G1DI7TH3ORQ,1818,0,0,2026-05-07 07:01:22.371006,cohort2
GYtLVLAjkNI,2556,23,0,2026-05-07 07:01:22.371006,cohort2
z16TsgBLLuI,2433,11,0,2026-05-07 07:01:22.371006,cohort2
zkjcNg-K7aE,4510,8,0,2026-05-07 07:01:22.371006,cohort2
wG0JaQdQRR0,4557,28,0,2026-05-07 07:01:22.371006,cohort2
s8Vt0NbGg_s,3173,176,6,2026-05-07 07:01:22.371006,cohort2
d4gYEInVPdo,1644,14,0,2026-05-07 07:01:22.371006,cohort2
LMe1syOeDmg,2887,0,23,2026-05-07 07:01:22.371006,cohort2
wvlD8xtiTtU,1690,27,0,2026-05-07 07:01:22.371006,cohort2
ZElxIyXmlmA,2060,17,0,2026-05-07 07:01:22.371006,cohort2
XcB7ckJ2mfc,1131,37,3,2026-05-07 07:01:22.371006,cohort2
JPgAA56LnBI,4130,111,4,2026-05-07 07:01:22.371006,cohort2
lyFVARrR6YQ,1411,43,3,2026-05-07 07:01:22.371006,cohort2
JVEFIpEe7xs,24559,2286,30,2026-05-07 07:01:22.371006,cohort2
rhsqSBPGxAI,1231,22,0,2026-05-07 07:01:22.371006,cohort2
jLzcsR2Z88g,2112,52,0,2026-05-07 07:01:22.371006,cohort2
Rqxjw8UOioU,1159,34,7,2026-05-07 07:01:22.371006,cohort2
zXZhVRNrXTw,1992,39,0,2026-05-07 07:01:22.371006,cohort2
WYUtRxwErJc,1564,28,1,2026-05-07 07:01:22.371006,cohort2
dWrhPsuGAyM,5136,69,0,2026-05-07 07:01:22.371006,cohort2
5vVhyO64yy8,1819,15,3,2026-05-07 07:01:22.371006,cohort2
tKFhfEYdEQ4,1302,6,2,2026-05-07 07:01:22.371006,cohort2
_woibC1Uc4s,1135,25,3,2026-05-07 07:01:22.371006,cohort2
dtA1PDvWHWg,1145,26,0,2026-05-07 07:01:22.371006,cohort2
jIaFuaUQJj8,18529,935,16,2026-05-07 07:01:22.371006,cohort2
uhaJClxKvBE,1398,22,0,2026-05-07 07:01:22.371006,cohort2
BzJDnSQ2N8s,1547,0,0,2026-05-07 07:01:22.371006,cohort2
js3MDn189WY,2384,39,0,2026-05-07 07:01:22.371006,cohort2
aZTg7Y1s3i4,3518,77,1,2026-05-07 07:01:22.371006,cohort2
w959JQyRWI0,4973,82,1,2026-05-07 07:01:22.371006,cohort2
SFwOEsdSG2A,1318,30,0,2026-05-07 07:01:22.371006,cohort2
d922sHgT8x4,2937,25,2,2026-05-07 07:01:22.371006,cohort2
noyibwhlMB0,1258,8,0,2026-05-07 07:01:22.371006,cohort2
zaSnfYBNq54,1496,25,0,2026-05-07 07:01:22.371006,cohort2
Nlk40c2coj0,877,32,2,2026-05-07 07:01:22.371006,cohort2
Dv0qYHpmbh8,1527,0,0,2026-05-07 07:01:22.371006,cohort2
Ptk-QwiDcgU,2932,44,1,2026-05-07 07:01:22.371006,cohort2
h54baYCq2aA,1501,21,2,2026-05-07 07:01:22.371006,cohort2
IPyxfkHAa4M,1684,20,0,2026-05-07 07:01:22.371006,cohort2
Br1nYlc0_Sw,1712,0,1,2026-05-07 07:01:22.371006,cohort2
_hYUAJKRaF8,752,6,0,2026-05-07 07:01:22.371006,cohort2
uFH5QQjqA9E,1740,23,0,2026-05-07 07:01:22.371006,cohort2
wRw8UgMP0j4,1518,0,4,2026-05-07 07:01:22.371006,cohort2
jkbhFGwtPug,1221,11,1,2026-05-07 07:01:22.371006,cohort2
hJv1s-a3sTw,1525,9,1,2026-05-07 07:01:22.371006,cohort2
uBm3mLxD_4s,2358,13,2,2026-05-07 07:01:22.371006,cohort2
UWPwKsit0Pc,5563,72,0,2026-05-07 07:01:22.371006,cohort2
F04vTZpR1RQ,1390,13,0,2026-05-07 07:01:22.371006,cohort2
fljjVxeIGBQ,1621,34,10,2026-05-07 07:01:22.371006,cohort2
GY3QqbsE6_E,1236,25,0,2026-05-07 07:01:22.371006,cohort2
709_w_fP4MI,1852,0,0,2026-05-07 07:01:22.371006,cohort2
6IvaMcKEFZ4,1962,0,0,2026-05-07 07:01:22.371006,cohort2
AY6gZbW7fNg,5100,17,0,2026-05-07 07:01:22.371006,cohort2
cMb_3R5RNpM,1718,12,0,2026-05-07 07:01:22.371006,cohort2
B335dKT404w,1703,13,0,2026-05-07 07:01:22.371006,cohort2
3eFMDNMsCas,3169,98,2,2026-05-07 07:01:22.371006,cohort2
IusZLMlE_-E,4138,72,0,2026-05-07 07:01:22.371006,cohort2
d9STPKfyKvw,4277,10,1,2026-05-07 07:01:22.371006,cohort2
LRfmdgbTeTg,7160,59,15,2026-05-07 07:01:22.371006,cohort2
79Y8qRw3wOw,1051,9,0,2026-05-07 07:01:22.371006,cohort2
9p0-60NCK1E,1516,26,0,2026-05-07 07:01:22.371006,cohort2
ky8i3fchNjY,1010,43,3,2026-05-07 07:01:22.371006,cohort2
nDpF4DLdsCw,1906,75,11,2026-05-07 07:01:22.371006,cohort2
8HGev-iN1ok,2385,0,0,2026-05-07 07:01:22.371006,cohort2
UHZACPm3jwE,1294,23,0,2026-05-07 07:01:22.371006,cohort2
4wpyQLSBNP0,1280,11,0,2026-05-07 07:01:22.371006,cohort2
